word	kept	dropped	passes	tier
お化け	53	50	50 53 | 53 | 53	jmdict
お土産	40	33	40 | 33 40 | 40	jmdict
お嬢さん	20	21	20 21 | 20 | 20	jmdict
お宅	20 44	17	17 44 | 20 44 | 20	jmdict
お家	21 44	25	21 25 | 21 44 | 21 44	jmdict
お帰り	35	15 31	31 | 35 | 15 35	jmdict
お年玉	37	33	37 | 33 37 | 37	jmdict
お店	27 38	37 44	38 44 | 27 37 | 27 38	jmdict
お弁当	43	40	40 43 | 43 | 43	jmdict
お手上げ	30	10 13	10 30 | 13 30 | 30	jmdict
お手数	30	35	35 | 30 | 30	jmdict
お支払い方法	37	30	30 37 | 37 | 37	jmdict
お気に入り	30	40	40 | 30 | 30	jmdict
お洒落	13 33	30	30 33 | 13 33 | 13	jmdict
お祖母さん	21	20	20 21 | 21 | 21	jmdict
お祝い	35	33	35 | 33 35 | 35	jmdict
お祭り騒ぎ	35	10 13 33	13 | 10 33 35 | 35	jmdict
お絞り	40 43	42	40 42 | 40 43 | 40 43	jmdict
お茶	43	33	33 43 | 43 | 43	jmdict
お襁褓	42	40	42 | 42 | 40 42	jmdict
お詫び	35	31	35 | 31 35 | 35	jmdict
お開き	15	35	15 35 | 15 | 15	jmdict
お願い	31 35	34	31 35 | 31 34 | 31 35	jmdict
お馴染み	13	22	22 | 13 | 13	jmdict
か		10 31	10 | 31	corpus
かい	30	15	15 | 30 | 30	corpus
かさ	40 42	45	40 42 | 40 45 | 40 42	corpus
かし		30 34 40	30 | 40 | 34	corpus
かじ	45	30	45 | 30 45 | 45	corpus
かど	10 40	45	10 40 | 10 40 | 40 45	corpus
かに	55	19	19 | 55 | 55	corpus
かね	37	30	37 | 30 | 37	corpus
かび	53	50 54	53 | 53 54 | 50 53	corpus
かも	55	10	10 | 55 | 55	corpus
かり		10 30 37	30 | 37 | 10	corpus
かわ	56	30	30 | 56 | 56	corpus
がさ		10 15 45	15 | 10 | 45	corpus
がっくり	30	13	13 | 30 | 30	jmdict
がま		15 54 55	15 | 55 | 54	corpus
がら		10 11 18	10 | 11 18	corpus
がり	15	18	18 | 15 | 15	corpus
がれ	40	15 51	15 | 40 51 | 40	corpus
きす	55	15	15 | 55 | 55	corpus
きず	10 18	15	18 | 10 15 | 10 18	corpus
くい		10 13 18 45	18 | 45 | 10 13	corpus
くぐり	15	17	15 | 15 17 | 15	corpus
くこ	30	17	30 | 30 | 17	corpus
くじ引き	35	30	35 | 35 | 30 35	jmdict
くす		10 32 45	10 | 45 | 32	corpus
くそ	10	13 40 43	10 13 | 10 | 40 43	corpus
くま	55	16	16 | 55 | 55	corpus
くり	54	53	54 | 54 | 53	corpus
け	56	18	18 | 56 | 56	corpus
けし	15	54	15 | 15 | 54	corpus
けじめ	30 34	33	30 33 | 30 34 | 30 34	jmdict
けつ		10 40 56	10 | 40 | 56	corpus
こ		19 20	19 | 20	corpus
こし	56	30	30 | 56 | 56	corpus
こちら	17	10 20 22	10 | 17 22 | 17 20	corpus
こま	45	19	19 | 45 | 45	corpus
こり	13	15 56	13 15 | 56 | 13	corpus
これら	10	11	10 | 10 | 11	corpus
ごっこ	33	15 35	33 | 33 | 15 35	corpus
ごろ	16	19	16 | 16 | 16 19	corpus
ご主人	20 25	21	20 25 | 21 25 | 20 25	jmdict
ご無沙汰	35	16	35 | 16 35 | 35	jmdict
ご破算	10 15	35	10 | 15 35 | 10 15	jmdict
ご褒美	37	34 40	37 | 34 | 37 40	jmdict
ご覧	31	30	31 | 31 | 30	jmdict
ご連絡	31	35	31 35 | 31 | 31	jmdict
さい	19	10	19 | 10 | 19	corpus
さえ	10	20	10 | 20 | 10	corpus
さく		15 45 47	15 | 47 | 45	corpus
さつ	19	40	19 | 19 | 40	corpus
さつき	54	16	16 | 54 | 54	corpus
しい	13	11	13 | 11 | 13	corpus
しか	55	10	10 | 55 | 55	corpus
しそ	54	43	54 | 54 | 43	corpus
しだ	54	11	11 | 54 | 54	corpus
しな		11 18 45 54	45 | 11 18 | 54	corpus
しの		10 20 31	10 | 20 | 31	corpus
しのぎ	30 37	38	37 38 | 30 37 | 30 37	corpus
しま		15 17	15 | 17	corpus
しゃぶしゃぶ	43	33	33 43 | 43 | 43	jmdict
す	15	10	10 | 15 | 15	corpus
すき	45	18	18 | 45 | 45	corpus
すぎな	54	13	13 | 54 | 54	corpus
すぐ側	17	19	17 | 17 | 17 19	jmdict
すす	51	41	41 | 51 | 51	corpus
すまし顔	18	30	18 | 18 30 | 18	jmdict
すり	24	37	37 | 24 | 24	corpus
すり替え	15	30	15 | 15 | 15 30	corpus
そ	10	20	10 | 20 | 10	corpus
そちら	17	20 22	17 | 20 | 17 22	corpus
そのもの	10	18	10 | 10 18 | 10	corpus
そのよう	13	11 18	13 | 11 | 13 18	corpus
その上	17	19	19 | 17 | 17	jmdict
それぞれ	19	11	11 | 19 | 19	corpus
たい	10	40	10 | 40 | 10	corpus
たか	19	55	19 | 55 | 19	corpus
たが	45	15	15 | 45 | 45	corpus
たこ	55	40 43 45	55 | 43 55 | 40 45	corpus
ただ	10	13	13 | 10 | 10	corpus
たち	20	11	20 | 20 | 11	corpus
たとえ	11	31	31 | 11 | 11	corpus
たより	31	30 40	30 31 | 31 | 31 40	corpus
たら	10	43	10 | 43 | 10	corpus
たる	10	13	13 | 10 | 10	corpus
だし	30	43 45	30 | 43 | 30 45	corpus
だだ		10 30 34	10 | 34 | 30	corpus
だに		16 55	55 | 16	corpus
だま	35	30	35 | 35 | 30 35	corpus
ち		20 37 56	20 | 56 | 37	corpus
ちぐはぐ	13	18	13 18 | 13 | 13	jmdict
ちん	45	10	10 | 45 | 45	corpus
ちんちん	45	56	45 | 56 | 45	jmdict
つが		15 55	15 | 55	corpus
つと	31	40	31 | 31 | 40	corpus
つなぎ	15 45	42	15 45 | 15 42 | 15 45	corpus
つま		10 30 31	10 | 31 | 30	corpus
てこ	45	30	30 45 | 45 | 45	corpus
でく		10 40	10 | 40	corpus
と	10	31	10 | 31 | 10	corpus
とい	45	30	30 | 45 | 45	corpus
とう	31	30	30 | 31 | 31	corpus
とお		10 33	33 | 10	corpus
とし	16	15	16 | 15 | 16	corpus
とせ		15 20 30	15 | 30 | 20	corpus
とま		10 17	10 | 17	corpus
とみ	37	20	20 | 37 | 37	corpus
とや		10 40	40 | 10	corpus
と金	40	37	37 | 40 | 40	corpus
どれ		10 11 19	11 | 19 | 10	corpus
な	10	13	13 | 10 | 10	corpus
なぎ	15	50	15 | 15 50 | 15	corpus
なし		10 11 54	10 | 11 | 54	corpus
なぞ	11	35	11 | 11 | 11 35	corpus
なり	15	18	15 | 15 18 | 15	corpus
におい	50	56	50 56 | 50 | 50	corpus
のぎ	30	45	30 45 | 30 | 30	corpus
のすり	37	55	37 | 55 | 37	corpus
のみ	19	45	19 | 45 | 19	corpus
は		20 31	31 | 20	corpus
はい		10 31 38	31 | 38 | 10	corpus
はさ	15	45	15 | 15 | 45	corpus
はし	45	30 35	35 | 30 45 | 45	corpus
はじめ	16	11	16 | 11 | 16	corpus
はす		15 17 54	15 | 54 | 17	corpus
はず	10	30	10 | 10 30 | 10	corpus
はも	55	10	10 | 55 | 55	corpus
ばい	19	37	37 | 19 | 19	corpus
ばか	20	30	20 | 20 30 | 20	corpus
ばら	19	11	19 | 19 | 11 19	corpus
ひ		10 31 40	10 | 31 | 40	corpus
ひも	40 45	41	40 45 | 40 45 | 40 41	corpus
ひら	18	40 56	18 | 40 | 18 56	corpus
ひらひら	18	13	18 | 13 18 | 18	jmdict
びら	31	40	31 | 31 40 | 31	corpus
ふ		15 19 43 53	19 | 43 53 | 15	corpus
ふるい	45	30	30 45 | 45 | 45	corpus
ふるい分け	15	30	15 | 15 30 | 15	corpus
ふるまい	30 35	13	13 30 | 30 35 | 30 35	corpus
ぶつぶつ	13 18	31	13 18 | 18 | 13 31	jmdict
ぶと	55	43	55 | 55 | 43	corpus
べき	34	30	34 | 34 | 30	corpus
べら		40 45 55	40 | 45 | 55	corpus
ほう	18	11 17	18 | 11 18 | 17	corpus
まき網	45	40	40 45 | 45 | 45	jmdict
まぐれ	30	10	30 | 30 | 10 30	corpus
まさ	45	10	10 | 45 | 45	corpus
ます		15 31 35 40 43	15 35 | 40 43 | 31	corpus
また		10 30 31	10 | 31 | 30	corpus
まとめ	31	10 32	10 31 | 31 | 31 32	corpus
まり	40	19	19 | 40 | 40	corpus
まる		10 40	10 | 40	corpus
み		10 56	10 | 56	corpus
みつ	43	19	19 | 43 | 43	corpus
みの		10 42 45	10 | 42 | 45	corpus
むしろ		13 30 40 42	13 | 40 42 | 30	corpus
むっつり	30	13	13 | 30 | 30	jmdict
もと	17 30	10	30 | 10 17 | 17 30	corpus
もなか	43	40	40 43 | 43 | 43	corpus
もの	40	20	40 | 40 | 20	corpus
や		11 31 55	11 | 55 | 31	corpus
やく	24	10	10 | 24 | 24	corpus
やり	45	30	30 | 45 | 45	corpus
ゆうちょ銀行	27	37	27 | 27 37 | 27	jmdict
ゆとり	19	30	19 | 19 | 19 30	jmdict
よ		10 16 19	19 | 10 | 16	corpus
より		17 31 41	31 | 17 | 41	corpus
わせ		15 19 20	19 | 20 | 15	corpus
わら	41 54	43	43 | 41 54 | 41 54	corpus
アイ	54	40	40 | 54 | 54	corpus
アイアン	45	40	40 45 | 45 | 45	jmdict
アイコン	40	32 45	40 | 40 45 | 32 40	corpus
アイドル	13	15 24 32	13 15 | 24 32 | 13	corpus
アイリス	54 56	45	45 54 | 56 | 54 56	jmdict
アウトサイダー	24	20 22	24 | 20 24 | 22	jmdict
アウトバーン	17 47	44	47 | 17 47 | 17 44	jmdict
アウトレット	27	37 38 40 44	27 38 | 27 40 | 27 37 44	corpus
アカウント	37	40	37 40 | 37 | 37	corpus
アキー		40 43 53 54	40 | 43 | 53 54	corpus
アクション	15	10 30	15 30 | 15 | 10 15	corpus
アクセ	42	35 40	35 | 42 | 40 42	corpus
アクトレス	24	32	24 | 24 32 | 24	jmdict
アクロバット	32	33	32 | 32 | 32 33	jmdict
アコースティック	18	13	18 | 18 | 13	jmdict
アコード		10 32 35 40 45	40 | 32 45 | 10 35	corpus
アサインメント	34 38	30	34 38 | 30 | 34 38	corpus
アジ		31 43 55	43 | 31 | 55	corpus
アジア人	23	20	23 | 23 | 20 23	jmdict
アスタリスク	31	40	31 40 | 31 | 31	corpus
アスピリン	43	40	40 | 43 | 43	jmdict
アスレチック	33 45	32 40	33 45 | 32 40 | 33 45	jmdict
アセス	30	38	30 | 30 38 | 30	corpus
アソシエーション	27	35	27 35 | 27 | 27	jmdict
アタック	15	35 36	15 | 15 35 | 15 36	corpus
アダルト	33	13	13 | 33 | 33	jmdict
アチーブ	34	10 15	10 34 | 15 | 34	jmdict
アット	31	17	31 | 31 | 17	jmdict
アップ	15	19	15 | 15 | 15 19	corpus
アップル	54	40	40 | 54 | 54	jmdict
アトラクション	32 33	35	32 35 | 32 33 | 32 33	jmdict
アトラス	40	32 41 45	40 41 | 32 | 40 45	jmdict
アトリ	55	10	10 | 55 | 55	corpus
アドバルーン	40 45	30	40 45 | 30 40 | 40 45	jmdict
アドリア海	52	26	52 | 52 | 26 52	corpus
アドリブ	32	31	32 | 31 32 | 32	jmdict
アナウンス	31	35	31 | 31 | 31 35	corpus
アナログ	13	11 18	11 13 | 13 18 | 13	jmdict
アナーキー	36	10 30	10 36 | 36 | 30 36	jmdict
アニマル	55	53	55 | 53 55 | 55	jmdict
アニーリング	15 38	30	15 38 | 15 30 | 15 38	jmdict
アパッチ	23	24	23 | 23 24 | 23	jmdict
アパルトヘイト	36	33	36 | 36 | 33 36	jmdict
アビ		40 45 55	40 | 55 | 45	corpus
アフガニ	37	51	37 51 | 37 | 37	corpus
アフリカ	26	52	26 | 26 52 | 26	corpus
アプリ	31 45	32 40	31 40 | 32 45 | 31 45	corpus
アプリケーション	32 45	31 38	32 38 | 31 45 | 32 45	corpus
アプレ	33	35	35 | 33 | 33	corpus
アポ	35	31	35 | 35 | 31 35	corpus
アポストロフィ	31 51	40	31 51 | 31 51 | 31 40	corpus
アマン	43	27	43 | 27 | 43	jmdict
アミ	55	45	55 | 55 | 45	jmdict
アムネスティ	27 34	36	34 36 | 27 34 | 27	jmdict
アムール	26	52	26 | 26 52 | 26	jmdict
アメニティ	33 40	44	33 40 | 33 40 | 40 44	jmdict
アメリカン	23	11	11 | 23 | 23	jmdict
アラウンド	19	17	17 19 | 19 | 19	jmdict
アラビア	23 31	26	23 26 | 23 31 | 23 31	corpus
アラー		10 31 50	10 | 50 | 31	corpus
アラーム	31 45	10	31 45 | 10 45 | 31 45	corpus
アリストクラシー	26 36	25	26 36 | 25 26 | 26 36	jmdict
アリバイ	10 30	34	10 34 | 10 30 | 30	jmdict
アリーナ	17 44	47	44 47 | 17 44 | 17 44	jmdict
アルコール	43 51	41	41 51 | 43 51 | 43 51	jmdict
アルゴリズム	30	45	30 | 30 | 30 45	corpus
アルパイン	54	33	33 | 54 | 54	jmdict
アルファベット順	11	19	11 | 11 | 19	jmdict
アルブミン	51	56	51 | 51 56 | 51	jmdict
アルミサッシ	41 45	44	41 45 | 44 | 41 45	jmdict
アレビ	43	31	31 | 43 | 43	corpus
アレン	20	40	20 | 40 | 20	corpus
アレンジ	15 32	30	15 30 | 32 | 15 32	corpus
アレンジメント	34 36	10 27	34 36 | 10 34 | 27 36	corpus
アロケーション	15	30 37 45	15 45 | 15 37 | 15 30	corpus
アロマテラピー	33	30	30 | 33 | 33	jmdict
アロー	40	45	40 | 40 | 40 45	corpus
アングル	18 30	13 17	18 30 | 17 18 | 13 30	jmdict
アングロアメリカ	26	23	26 | 26 | 23 26	jmdict
アンケート	31	38	31 | 31 38 | 31	corpus
アンコール	31 32	35	31 32 | 32 35 | 31 32	jmdict
アンサンブル	32	11	32 | 11 32 | 32	jmdict
アンジェラス	32	33	32 | 33 | 32	jmdict
アンダー	19	13	13 19 | 19 | 19	jmdict
アンチ	30	22	22 30 | 30 | 30	jmdict
アンティーク	40	33	40 | 33 40 | 40	jmdict
アンテナ	45	30 52	45 | 45 52 | 30 45	jmdict
アンドロイド	45 53	40	40 45 | 45 53 | 45 53	jmdict
アンファンテリブル	20	40	20 | 40 | 20	jmdict
アンモナイト	53	50	53 | 53 | 50 53	jmdict
アーク	50	15 45 46	15 46 | 50 | 45 50	jmdict
アース	45	51	45 | 45 51 | 45	jmdict
アーチ	18 44	45	18 45 | 18 44 | 18 44	jmdict
アーチェリー	33	32	33 | 32 33 | 33	jmdict
アートディレクター	24	32	24 | 24 32 | 24	jmdict
アーバニティー	33	13	13 33 | 33 | 33	jmdict
アーバン	26	33	26 | 26 33 | 26	jmdict
アーリーアメリカン	18 33	42	18 33 | 18 33 | 33 42	jmdict
イエロー	13 18	35	13 35 | 13 18 | 18	jmdict
イオン	51	50	51 | 51 | 50	jmdict
イグルー	44	40	40 44 | 44 | 44	corpus
イコール		10 11 13 45	45 | 11 13 | 10	jmdict
イスラム	23 33	26	33 | 23 33 | 23 26 33	jmdict
イット	20	30	30 | 20 | 20	jmdict
イデオロギー	30	33	30 | 30 33 | 30	jmdict
イド		20 30 40	40 | 30 | 20	corpus
イニシアチブ	27 30	34 36	30 36 | 27 30 | 27 34	corpus
イノベーション	15 38	32	15 38 | 15 32 38 | 15	jmdict
イベント	10	15 33 35	10 15 | 10 35 | 10 33	corpus
イメージ	10 18 30	40	10 18 | 10 30 | 18 30 40	corpus
イヤー	16	40 45	40 45 | 16 | 16	corpus
イラスト	32	40	32 | 32 40 | 32	jmdict
イン		10 17 40	40 | 17 | 10	corpus
インキ	41	43	41 43 | 41 | 41	corpus
インキュベータ	45	27	27 45 | 45 | 45	corpus
インク	41	51	41 51 | 41 | 41	corpus
インコース	17	45	45 | 17 | 17	corpus
インサイダー	24	34 36	24 36 | 24 34 | 24	corpus
インジケータ	10	31 40	10 | 10 31 | 10 40	corpus
インジケーター	10	40 45	10 | 10 45 | 10 40	corpus
インタラクション	35	15 30	15 35 | 30 35 | 35	corpus
インタラクティブ		10 13 30	30 | 10 | 13	jmdict
インター	44	27 38 47	44 47 | 38 | 27 44	jmdict
インターナショナル	26	11	26 | 26 | 11	jmdict
インターネット	26	27 31 38 45	26 31 | 26 45 | 27 38	corpus
インターフェイス	45	17 30	17 45 | 45 | 30 45	corpus
インターン	24	38	24 38 | 24 | 24	jmdict
インティ	52	37 51	52 | 52 | 37 51	corpus
インテル	10 31	38	31 38 | 10 31 | 10 31	corpus
インディアン	23	20	20 23 | 23 | 23	jmdict
インディペンデント		11 20 24	20 | 11 | 24	jmdict
インドア	33	17	33 | 33 | 17	corpus
インパクト	14	15	14 | 14 15 | 14	corpus
インフォメーション	31	35	31 35 | 31 | 31	jmdict
インフラストラクチャー	27 38 45	44	38 44 45 | 27 38 | 27 38 45	jmdict
インフルエンス	27 38	14	27 | 27 38 | 14 38	corpus
インフレ	37	50	37 50 | 37 | 37	jmdict
インフレーション	13 37	50	13 37 | 13 37 50 | 37	jmdict
インプ	40	10 19	40 | 40 | 10 19	corpus
インプット	15 31	30	15 30 31 | 15 31 | 15 31	jmdict
インプレッション	31	10 19 37	31 | 10 19 | 31 37	corpus
インベントリ	10 40	38	40 | 10 38 | 10 40	corpus
インボイス	31 37	40	31 37 | 31 40 | 31 37	corpus
インポート	15 37	31	15 31 | 15 37 | 15 37	corpus
イースタングリップ	45	30	30 45 | 45 | 45	jmdict
イースター	33	16	33 | 16 33 | 33	jmdict
イースト	41 53	43	41 43 | 41 53 | 53	jmdict
ウィリー	15	18 45	15 | 15 | 18 45	jmdict
ウィンド	45	50	45 | 45 | 50	corpus
ウィークリー	16	33	33 | 16 | 16	jmdict
ウイニングショット	15	32	15 | 15 | 15 32	jmdict
ウイング	40 45	18	45 | 40 45 | 18 40 45	jmdict
ウインド	45	44 50	45 | 50 | 44 45	jmdict
ウェア	40	42 45	40 | 40 45 | 42	corpus
ウェイ		17 19 45	45 | 19 | 17	corpus
ウェイト	19	45	19 45 | 19 | 19	corpus
ウェブ	17 31	38	38 | 17 31 | 17 31	corpus
ウェブサイト	31 40	44	31 44 | 31 40 | 31 40	corpus
ウェーバー	20	51	51 | 20 | 20	jmdict
ウエスト	19 56	18	19 | 19 56 | 18 56	jmdict
ウォー	36	14	14 | 36 | 36	corpus
ウォーク	15	35	15 | 15 35 | 15	corpus
ウォーター	43 51	50	50 51 | 43 51 | 43 51	corpus
ウォーターカラー	32 40	41	32 41 | 32 40 | 32 40	jmdict
ウォーム	50	13	50 | 50 | 13	corpus
ウォール街	26	37	26 | 26 | 26 37	jmdict
ウクレレ	45	32	45 | 32 45 | 45	jmdict
ウッド	41 51	40 45	40 45 | 41 51 | 41 51	jmdict
ウンチ	56	43	56 | 43 56	jmdict
エア	10	40	10 | 40 | 10	corpus
エアコン	45	40	40 45 | 45 | 45	corpus
エアバッグ	45	40	45 | 40 45 | 45	jmdict
エアメール	31	40	31 | 31 | 31 40	jmdict
エアロビクス	33	32	32 33 | 33 | 33	jmdict
エイト	19	45	19 | 45 | 19	corpus
エイプリルフール	33	16	33 | 16 33 | 33	jmdict
エキスポ	32 33	38	32 33 | 32 33 | 32 38	jmdict
エキュメニズム	33 36	30	30 33 | 33 36 | 33 36	jmdict
エクス		10 22 40	10 | 22 | 40	corpus
エクストラ	24	11 40	24 | 24 | 11 40	jmdict
エクスペリエンス		10 13 30 33	10 33 | 30 | 13	jmdict
エコノミー	19 37	38	37 38 | 19 | 19 37	jmdict
エスクワイア	24	25	24 | 24 | 24 25	jmdict
エスコート	35	22	35 | 22 35 | 35	jmdict
エステサロン	44	27 38	38 44 | 44 | 27 44	jmdict
エステティック	38	32 33	38 | 32 33 | 38	jmdict
エステティックサロン	44	38	38 44 | 44 | 44	jmdict
エスニック	23	33	23 33 | 23 | 23	jmdict
エッセンス	10 51	40	10 51 | 40 51 | 10 51	jmdict
エディション	11	40	11 | 11 | 11 40	corpus
エディタ	45	31	31 45 | 45 | 45	corpus
エディター	24 45	32	24 32 | 24 45 | 24 45	jmdict
エネ	37	50	37 | 50 | 37	jmdict
エネルギー	50 51	38	38 50 | 50 51 | 50 51	corpus
エバンジェリスト	24	31	24 31 | 24 | 24	jmdict
エプロン	42	45	42 45 | 42 | 42	jmdict
エペ	45	32	45 | 45 | 32	jmdict
エミュレーション	30 45	15 32	30 45 | 30 45 | 15 32	corpus
エラ	55	56	55 | 55 | 56	corpus
エラー	10	15	10 | 10 15 | 10	corpus
エリート	24	20	24 | 24 | 20 24	jmdict
エル	19	40	40 | 19 | 19	corpus
エルニーニョ	50	52	50 | 50 52 | 50	jmdict
エレキギター	45	32	45 | 45 | 32 45	jmdict
エレクトリック	50	13	50 | 13 | 50	jmdict
エレクトロニクス	38 45	40	38 40 | 38 45 | 38 45	corpus
エロ	33	13 30	30 | 13 33 | 33	jmdict
エンカウンター	35	10	35 | 10 35 | 35	jmdict
エンジェル	20	33 37	20 33 | 20 37 | 20	jmdict
エンジョイ	30	35	30 | 35 | 30	jmdict
エンジン	45	30	45 | 45 | 30 45	corpus
エンターテインメント	32 38	27 33	27 33 | 32 38 | 32 38	corpus
エンダイブ	54	43	43 54 | 54 | 54	jmdict
エンディング	15	16 32	15 | 15 16 | 15 32	jmdict
エントリー	10 32	38	10 32 | 32 38 | 10 32	corpus
エントロピ	50	19 51	19 50 | 50 | 50 51	corpus
エンド	17	40	17 | 17 | 17 40	corpus
エンペラー	55	20 25	55 | 55 | 20 25	jmdict
エーカー	19	47	19 47 | 19 | 19	jmdict
エージ	19	24	24 | 19 | 19	corpus
オクターブ	19	32	19 | 19 32 | 19	jmdict
オケ	32	27	32 | 27 32 | 32	jmdict
オスカー	32	34	32 | 32 34 | 32	jmdict
オセアニア	26	52	26 | 26 | 26 52	jmdict
オタク	20	24	20 | 20 | 20 24	jmdict
オフ	15	16	15 | 15 | 16	corpus
オファー	35	31 37	35 | 31 35 37 | 35	corpus
オフィシャル	13	10 24	24 | 13 | 10 13	jmdict
オフィス	44	27	44 | 44 | 27 44	corpus
オフサイド	10	34	34 | 10 | 10	jmdict
オフシーズン	16	38	16 38 | 16 | 16	jmdict
オフセット	19	10	19 | 19 | 10 19	corpus
オフライン	13	10	13 | 10 13 | 13	corpus
オフロード	47	15	47 | 15 47 | 47	jmdict
オブザーバー	24	20 27	20 24 | 24 27 | 24	jmdict
オブジェ	40	32	40 | 40 | 32 40	corpus
オブラート	40	43	40 | 40 | 40 43	jmdict
オプション	11	10 40	11 | 11 40 | 10 11	corpus
オペレーション	38	15 30	38 | 15 38 | 30 38	corpus
オリエンタリズム	30 33	32	30 33 | 30 33 | 30 32 33	jmdict
オリエンテーション	30 35	31 33	30 35 | 31 33 | 30 35	jmdict
オリジナル	11	13 32	11 13 | 11 | 11 32	corpus
オリジン	17	30	17 30 | 17 | 17	corpus
