word	kept	dropped	passes	tier
こり	56	30	56 | 30 56 | 56	corpus
これ	10	20	10 | 10 | 20	corpus
ご主人	21	25	21 | 21 25 | 21	jmdict
ご覧	31	30	30 | 31 | 31	jmdict
ご馳走	43	35	43 | 43 | 35 43	jmdict
さい	16	55	55 | 16 | 16	corpus
さえ		10 13 19	10 | 13 | 19	corpus
さく	44	30	30 | 44 | 44	corpus
さつ	24	37	24 | 24 37 | 24	corpus
さば	55	43	55 | 43 55	corpus
しきい	19 44	17	19 | 19 44 | 17 19 44	corpus
しな	40	13	40 | 13 40 | 40	corpus
しのぎ	30	18	30 | 30 | 18 30	corpus
しま	17 18	26	17 18 | 17 18 | 18 26	corpus
しまい	15	21	15 | 15 21 | 15	corpus
す	43	15 55	15 | 43 55 | 43	corpus
すき間	17	10	17 | 10 17 | 17	corpus
すべ	30	19	19 | 30 | 30	corpus
そ	10	31	31 | 10 | 10	corpus
そちら	17	22	17 22 | 17 | 17	corpus
そのよう	13	18	13 | 18 | 13	corpus
その上	17	19	19 | 17 | 17	jmdict
その手	30	11	30 | 11 30 | 30	corpus
それら	10	20	10 | 10 | 20	corpus
たか	55	19	55 | 55 | 19 55	corpus
たこ	40 55	56	40 55 | 40 55 | 40 55 56	corpus
たち		13 18 20	20 | 18 | 13	corpus
たとえ	11	30	11 | 11 30 | 11	corpus
たま	40	56	40 | 40 | 40 56	corpus
ため息	30	56	30 | 30 | 30 56	jmdict
たも	45	54	54 | 45 | 45	corpus
たら	55	43	55 | 43 55 | 55	corpus
たる	40	13	13 | 40 | 40	corpus
だま	30	51	30 | 30 | 51	corpus
だまし	35	30	35 | 35 | 30	corpus
ちゃん		13 20 35	13 | 20 | 35	corpus
ちん		13 45 56	13 | 56 | 45	corpus
つが	54	19	19 | 54 | 54	corpus
つて	35	30	35 | 30 35 | 35	corpus
つと	40	15	40 | 15 | 40	corpus
つなぎ	15 42	43	15 | 15 42 | 15 42 43	corpus
つま	17 21	42 43	17 21 | 17 21 42 43 | 21	corpus
てこ	45	14	45 | 14 45 | 45	corpus
でか	19	24	19 | 19 | 19 24	corpus
できないこと	10	13	10 | 13 | 10	corpus
でたらめ	10	13	13 | 10 | 10	corpus
とい	31	44 45	31 | 31 45 | 44	corpus
とう	27	26 31 43 44 46 54 56 57	26 27 43 44 46 54 56 57 | 27 | 31	corpus
とお	19	30	30 | 19 | 19	corpus
ところ	17	16	17 | 17 | 16 17	corpus
とし	16	19	16 19 | 16 | 16	corpus
とと	55	21	21 | 55 | 55	corpus
とど	55	15	55 | 15 | 55	corpus
とま		15 40 41	15 | 41 | 40	corpus
とわ	30	16	30 | 16 | 30	corpus
どちら	11 17	20	11 | 11 17 | 11 17 20	corpus
どのよう	30	13	30 | 13 | 30	corpus
な	10	31	10 | 31 | 10	corpus
なぞ	10	30	10 | 10 | 10 30	corpus
なら		10 30 54	54 | 10 | 30	corpus
に	17	10	17 | 17 | 10	corpus
ねた	32 43	30	32 43 | 32 43 | 30 43	corpus
のみ	19	45 55	19 | 45 55 | 19	corpus
は	31	45 54 56	31 | 45 54 56 | 31	corpus
はい	10	31	10 | 10 | 31	corpus
はさ	45	18	18 | 45 | 45	corpus
はり	14 45	44	45 | 14 44 45 | 14 45	corpus
ばら	54	13	13 54 | 54 | 54	corpus
ばん	16 19	32 45	16 19 | 16 19 32 45 | 16	corpus
ひ	16	50	16 50 | 16 | 16	corpus
ひも	41	24 40	41 | 24 41 | 40 41	corpus
ひらひら	15	18	15 | 15 | 15 18	jmdict
ふるまい		13 15 30	13 | 30 | 15	corpus
ぶっきら棒	13	30	13 | 30 | 13	jmdict
ぶつぶつ	31 56	18	56 | 31 56 | 18 31	jmdict
ほ		31 40 54	40 | 54 | 31	corpus
ほう	17 30	20	30 | 17 20 | 17 30	corpus
まさ	10	13	13 | 10 | 10	corpus
また	15	16	15 | 16 | 15	corpus
まる	18	19	18 | 18 | 18 19	corpus
みそ	43	30	43 | 30 43 | 43	corpus
みのも	17	54	17 | 54 | 17	corpus
む	12	10	12 | 12 | 10	corpus
むっつり	13	20	13 | 13 20 | 13	jmdict
もと	17 30	13	13 17 30 | 30 | 17 30	corpus
もり		30 50 54	50 | 30 | 54	corpus
や		11 44 45	11 | 45 | 44	corpus
やく	19 34	40	19 | 19 34 40 | 34	corpus
やそ	19	45	19 | 19 | 45	corpus
やり	45	30	30 45 | 45 | 45	corpus
やり取り	35	31	35 | 31 35 | 35	corpus
やり繰り	30	37	30 37 | 30 | 30	jmdict
ゆうパック	40	38	38 | 40 | 40	jmdict
ゆらぎ		13 15 50	15 | 13 | 50	corpus
よ	31	26	26 | 31 | 31	corpus
よそ	17	22	17 | 17 22 | 17	corpus
よそ見	15	30	15 | 30 | 15	jmdict
るまた	10	18	10 | 10 | 18	corpus
ろ	45	16	45 | 16 | 45	corpus
わけ	30	10	10 | 30 | 30	corpus
わし	20 55	40	20 55 | 20 40 55 | 55	corpus
わせ		15 19 54	15 | 19 | 54	corpus
わら	41	54	41 | 41 | 41 54	corpus
アイコ	20	10	20 | 20 | 10	corpus
アイシャドウ	42	40	42 | 40 | 42	jmdict
アイデンティティ	20	30	20 | 20 30 | 20	corpus
アイボリー	18 51	13	18 51 | 18 51 | 13 51	jmdict
アウト	15	13	13 | 15 | 15	corpus
アウトレット	27	45	27 | 27 45 | 27	corpus
アウトロー	24	20	24 | 20 | 24	jmdict
アカウント	37	34 40	40 | 37 | 34 37	corpus
アキレス腱	56	13	56 | 13 56 | 56	jmdict
アキー	43 54	11	11 | 43 54 | 43 54	corpus
アクセ	40	42	40 | 42 | 40	corpus
アクセス	15	17 34	15 | 15 | 17 34	corpus
アクリル	41	51	41 | 41 51 | 41	jmdict
アクロバット	32	24	24 32 | 32 | 32	jmdict
アコード	35	32 45	32 35 | 35 | 35 45	corpus
アサ	16 54	41	16 41 54 | 54 | 16	corpus
アシスト		14 30 35	35 | 30 | 14	jmdict
アスピリン	40	51	40 | 40 | 40 51	jmdict
アスレチック	33	45	45 | 33 | 33	jmdict
アスレチックス	33	27	33 | 33 | 27	jmdict
アセス	30	13	30 | 13 | 30	corpus
アセトン	51	41	51 | 51 | 41	jmdict
アセンブリ	31	15	15 31 | 31 | 31	corpus
アダルト	33	20 32	20 | 32 33 | 33	jmdict
アチーブ		10 13 15	10 | 15 | 13	jmdict
アット	18	31	31 | 18 | 18	jmdict
アトラクション	33	32	33 | 32 | 33	jmdict
アトラス	40	32 56	40 | 40 56 | 32 40	jmdict
アド	31	32	31 | 31 | 32	corpus
アドバルーン	40	10	40 | 10 40 | 40	jmdict
アドバンテージ	13	14	13 | 13 | 13 14	jmdict
アドベンチャー		10 15 33	15 | 10 | 33	jmdict
アドレナリン	51	56	51 | 51 | 56	jmdict
アナログ	18	11	18 | 18 | 11	jmdict
アパルトヘイト	36	26 33	26 33 | 36 | 36	jmdict
アフィリエイト	38	22 24	38 | 22 38 | 24	jmdict
アフガニ	37	23	23 | 37 | 37	corpus
アフター	16	38	38 | 16 | 16	jmdict
アプリケーション	45	40	45 | 45 | 40 45	corpus
アプレ	33	20	33 | 33 | 20 33	corpus
アポストロフィ	31	18 40	31 | 40 | 18 31	corpus
アマン	44	27	44 | 27 | 44	jmdict
アミ	45	55	45 55 | 45 | 45	jmdict
アムール	30	50	30 | 30 50 | 30	jmdict
アメニティ	40	13	13 40 | 40 | 40	jmdict
アメーバ	53	55	53 | 53 | 55	jmdict
アラー	12	33	33 | 12 | 12	corpus
アラーム	45	10	45 | 10 45 | 45	corpus
アルカイスム	31	32 33	32 | 31 33 | 31	jmdict
アルカリ性	13	51	13 51 | 13 | 13	jmdict
アルバイト	38	24	24 | 38 | 38	jmdict
アルバトロス	55	19	19 55 | 55 | 55	jmdict
アルパイン	50	11	11 | 50 | 50	jmdict
アルファベット順	30	18	30 | 30 | 18	jmdict
アルミサッシ	44	41	41 44 | 44 | 44	jmdict
アルミニウム	41	51	41 | 41 | 51	jmdict
アル中	20	24 57	24 57 | 20 | 20	jmdict
アレンジ	15 32	30	15 32 | 30 32 | 15	corpus
アレンジメント	32	30 34	32 | 30 32 | 34	corpus
アロマテラピー	30	33	30 | 33 | 30	jmdict
アロー	45	18	45 | 18 45 | 45	corpus
アンコール	32	35	32 35 | 32 | 32	jmdict
アンジェラス	33	46	33 | 33 46 | 33	jmdict
アンダーグラウンド	17 26	33	26 | 17 26 | 17 33	corpus
アンテナ	45	30	45 | 45 | 30 45	jmdict
アンファンテリブル	24	20	20 | 24 | 24	jmdict
アーキテクチャ	18	44	18 | 18 44 | 18	corpus
アーケード	44	45	44 | 44 45 | 44	jmdict
アース	45	52	45 | 45 52 | 45	jmdict
アースデー	33	16	33 | 16 33 | 33	jmdict
アートディレクター	24	32	24 | 24 32 | 24	jmdict
アーバニティー	33	13 26	13 | 26 33 | 33	jmdict
アーバン	13 26	33	13 26 | 13 | 26 33	jmdict
イエス	10 20	31	20 31 | 10 20 | 10	jmdict
イコン	32	18 40	32 | 18 32 | 32 40	corpus
イコール	10	18	18 | 10 | 10	jmdict
イシス	20	12	20 | 12 | 20	corpus
イット	13	10	10 | 13 | 13	jmdict
イニシアチブ	36	30	36 | 30 | 36	corpus
イニシャル	31	16	16 31 | 31 | 31	corpus
イリュージョン	10 32	13	13 | 10 32 | 10 32	jmdict
イン		13 17 44	44 | 17 | 13	corpus
インキュベータ	45	27	27 45 | 45 | 45	corpus
インジ	45	13	13 | 45 | 45	corpus
インジェクション	15	30	15 | 15 | 15 30	corpus
インジケータ	10	45	10 | 10 | 10 45	corpus
インスリン	56	51	51 | 56 | 56	jmdict
インタビュー	31	35	31 | 31 35 | 31	corpus
インターネット	26	31	31 | 26 | 26	corpus
インティ		33 37 52	33 | 52 | 37	corpus
インテリ	24	10	10 | 24 | 24	corpus
インテリア	40	44	40 | 40 | 40 44	jmdict
インテル	10	27	27 | 10 | 10	corpus
インデックス	19 31 45	32	19 32 45 | 19 31 45 | 19 31 45	corpus
インパクト	15	14	14 | 15 | 15	corpus
インフォメーション	10	31	10 31 | 10 | 10	jmdict
インフラ	26	44	26 | 44 | 26	jmdict
インフラストラクチャー	44	27	27 | 44 | 44	jmdict
インプット	31	30	31 | 31 | 30	jmdict
インプラント	45	40	45 | 40 | 45	corpus
インプレッション	19	10 13 30	10 19 30 | 19 | 13 19	corpus
インベントリ	40	10	40 | 40 | 10 40	corpus
イーグル	55	19 33	19 33 55 | 55 | 55	jmdict
イースト	43	17 53	43 | 43 53 | 17 43	jmdict
ウィザード	45	24	45 | 24 45 | 45	corpus
ウィジェット	45	40	45 | 40 45 | 45	corpus
ウィリー	15	18	15 18 | 15 | 15	jmdict
ウィング	45 56	44	56 | 44 45 56 | 45	corpus
ウィンドウ	44 45	40	44 45 | 44 45 | 40 44	corpus
ウィークポイント	13	14	13 | 14 | 13	jmdict
ウィークリー	16	32	16 32 | 16 | 16	jmdict
ウインク	35	56	35 | 35 56 | 35	jmdict
ウイング	45 56	44	45 56 | 44 45 56 | 45 56	jmdict
ウェイ	17	30	17 | 30 | 17	corpus
ウェブ	26	17	17 | 26 | 26	corpus
ウェブサイト	40	31	40 | 31 40 | 40	corpus
ウェーバー	19	20	19 | 19 | 19 20	jmdict
ウエスタン	32	33	32 33 | 32 | 32	jmdict
ウォッチ	30 45	15	30 45 | 15 45 | 30 45	corpus
ウォッチドッグ	45	24 55	45 | 24 45 55 | 45	corpus
ウォー	36	26	36 | 26 | 36	corpus
ウォーターカラー	32	41	32 | 32 41 | 32	jmdict
ウォーム	45	55	55 | 45 | 45	corpus
ウォール街	17 38	26	17 38 | 17 38 | 17 26	jmdict
ウッド	41	45	41 | 41 | 41 45	jmdict
ウムラウト	31	18	31 | 31 | 18 31	jmdict
エア	51	50	51 | 51 | 50	corpus
エアゾール	51	40	51 | 40 | 51	jmdict
エアメール	31	40	31 | 31 40 | 31	jmdict
エイプリルフール	33	16	16 33 | 33 | 33	jmdict
エイリアン	52	53	52 | 53 | 52	jmdict
エクイタブル	13	27	13 | 13 | 27	jmdict
エクス	22	11	22 | 22 | 11	corpus
エクストラ	24	11 19	24 | 11 24 | 19 24	jmdict
エクスプレス	15	45	15 | 15 | 45	jmdict
エクスペリエンス	30	10	10 | 30 | 30	jmdict
エコノミー	38	13 18	13 38 | 18 38 | 38	jmdict
エコロジー	50	33	50 | 33 50 | 50	jmdict
エスクワイア	25	32	25 | 25 | 32	jmdict
エスケープ	15	31	15 | 15 31 | 15	corpus
エスコート	35	15	35 | 15 | 35	jmdict
エステサロン	38	44	38 44 | 38 | 38	jmdict
エステティック	33	13	33 | 13 | 33	jmdict
エステート	47	37	37 47 | 47 | 47	jmdict
エストロゲン	51	56	51 | 51 | 51 56	jmdict
エッセンス	13	10 41 51	10 41 | 13 | 13 51	jmdict
エッチング	32	15	32 | 15 32 | 32	jmdict
エディタ	45	24	24 45 | 45 | 45	corpus
エナメル	41	56	41 | 41 56 | 41	jmdict
エホバ	12	33	33 | 12 | 12	jmdict
エミュレーション	30	15	30 | 30 | 15	corpus
エリスロポエチン	56	51	51 | 56 | 56	jmdict
エル	18 31	19	18 19 | 18 31 | 31	corpus
エレクトロニクス	38	33	33 | 38 | 38	corpus
エンゲージメント	35	30	35 | 30 | 35	corpus
エンジェル	12	52	52 | 12 | 12	jmdict
エンターテインメント	32	33	32 | 32 | 32 33	corpus
エンディング	15	32	15 32 | 15 | 15	jmdict
エントリー	32	35	32 | 32 | 32 35	corpus
エンドユーザ	24	20	20 | 24 | 24	corpus
エンドユーザー	24	20	20 | 24 | 24	corpus
エージ		16 19 24	24 | 19 | 16	corpus
エール	35 43	30	30 43 | 35 | 35 43	jmdict
オイディプス	20	33	20 | 20 | 33	jmdict
オイル	41	51	41 | 41 | 41 51	jmdict
オカルト	33	10	10 | 33 | 33	jmdict
オクターブ	32	19	32 | 19 32 | 32	jmdict
オタク	24	20	24 | 20 | 24	jmdict
オフ	16	13 15 37	13 | 15 16 37 | 16	corpus
オフィシャル	25	13	25 | 25 | 13	jmdict
オフサイド	33	13	33 | 33 | 13	jmdict
オフセット	17	19	17 | 17 | 17 19	corpus
オブラート	43	40 41	41 43 | 43 | 40	jmdict
オペ	15	56	15 | 15 | 15 56	corpus
オラクル	45	27	45 | 27 | 45	corpus
オラン		11 26 55	11 | 26 | 55	corpus
オリジナル	32	18	32 | 32 | 18 32	corpus
オリジン	15	17	15 17 | 15 | 15	corpus
オンパレード		11 19 33	11 | 19 | 33	jmdict
オンライン		13 17 31	13 | 17 | 31	corpus
オーガニック	43	13	43 | 43 | 13	corpus
オーク	54	41	54 | 41 54 | 54	corpus
オークス	33	10	33 | 33 | 10	jmdict
オーケストラ	32	27	27 32 | 32 | 32	jmdict
オーケストレーション	15	30 32	15 | 30 | 15 32	corpus
オーダーメイド	18	38	38 | 18 | 18	jmdict
オートメーション	38	15 45	38 | 15 | 38 45	corpus
オープニング	15	32	15 32 | 15 | 15	jmdict
オープン	15	13	13 15 | 15 | 15	corpus
オープンセット	32	44	32 | 32 | 32 44	jmdict
オールドガード	24	22	22 | 24 | 24	jmdict
オールマイティ	14	13	14 | 14 | 13	jmdict
カスタマ	22	24	22 | 22 | 24	corpus
カスタマー	22	24	22 | 22 | 24	corpus
カスピ海	50	17	50 | 50 | 17 50	jmdict
カセット	40	45	40 45 | 40 | 40	jmdict
カタログ	32 40	11 31	31 40 | 11 32 40 | 32	corpus
カップ	19 40	42	40 | 19 40 42 | 19 40	jmdict
カップリングシュガー	43	41	43 | 43 | 41	jmdict
カニ	55	43	55 | 43 55 | 55	corpus
カバー	40	19 32	40 | 32 40 | 19 40	corpus
カフェ	38	44	38 | 38 | 38 44	jmdict
カモフラージ		18 30	18 | 30	corpus
カモフラージュ	18	30	18 30 | 18 | 18	corpus
カラ		13 18 55	18 | 55 | 13	corpus
カラム	18	32 40 44	32 40 44 | 18 | 18	corpus
カリ	51	41 43	43 | 41 51 | 51	corpus
カリスマ	14	20	14 | 14 | 20	jmdict
カルデラ	50	17	50 | 17 50 | 50	jmdict
カルト	27	33	33 | 27 | 27	jmdict
カレンダ	16	40	16 | 16 | 16 40	corpus
カンカン	30 50	32	32 | 30 50 | 30 50	jmdict
カンニング		10 15 30	30 | 10 | 15	jmdict
カンパニー	27	38	27 | 27 | 27 38	jmdict
カースト	26	23	26 | 23 | 26	jmdict
カートリッジ	40	45	45 | 40 | 40	jmdict
カード	40	37	37 40 | 40 | 40	corpus
カーフ	56	41 55	41 55 56 | 56 | 56	corpus
カーリー	18	20	20 | 18 | 18	corpus
ガイド	24 40	30	40 | 24 30 40 | 24 40	corpus
ガスボンベ	45	40	45 | 40 | 45	jmdict
ガスマスク	42	45	42 | 42 | 45	jmdict
ガソリン	41	51	41 | 41 51 | 41	corpus
ガソリンスタンド	44	38	44 | 44 | 38 44	corpus
ガソール	41	26	41 | 41 | 26	jmdict
ガリバー	20	27	20 | 27 | 20	jmdict
ガード	24 30	45	30 | 24 30 45 | 24 30	corpus
ガードレール	45	34 40	34 40 | 45 | 45	corpus
キオスク	44	45	44 | 44 | 44 45	jmdict
キネシオロジー	33	30	30 | 33 | 33	jmdict
キノホルム	51	40	40 | 51 | 51	jmdict
キャッチ	15	31	15 | 15 | 15 31	corpus
キャッチフレーズ	31	32	31 | 31 32 | 31	jmdict
キャップ	40 42	19	40 42 | 19 40 42 | 40 42	jmdict
キャバレー	44	32	44 | 32 44 | 44	jmdict
キャピタリズム	36	26	36 | 26 | 36	jmdict
キャメル	55	13	55 | 55 | 13 55	jmdict
キャラ	18 32	20	18 32 | 20 | 18 32	jmdict
キャラクタ	32	18 20 30	32 | 18 20 | 30 32	corpus
キャラクター	30 32	13 20 31	13 20 | 30 31 32 | 30 32	jmdict
キャンパス	17	44	17 44 | 17 | 17	corpus
キャンペーン	38	15	15 | 38 | 38	corpus
キュー	17	19 31 45	19 | 17 | 17 31 45	corpus
キリル	31	20	31 | 31 | 20	jmdict
キロ	19	17	19 | 17 19 | 19	corpus
キロワット	14	19	14 | 19 | 14	jmdict
キーポイント	30	10	30 | 10 | 30	jmdict
キール	45	43	43 45 | 45 | 45	jmdict
ギプス	45	40	45 | 45 | 40	jmdict
ギャグ	32	31	31 | 32 | 32	jmdict
ギャップ	17 19	13	13 | 17 19 | 17 19	corpus
ギャル	20	33	20 | 20 33 | 20	jmdict
ギャング	27	24	27 | 24 27 | 27	jmdict
ギャンブル	33	37	33 | 33 37 | 33	jmdict
クイズ		30 31 33	30 | 31 | 33	corpus
クインテット	32	11	32 | 32 | 11 32	jmdict
クエスチョン	31	10	31 | 10 31 | 31	corpus
クエスチョンマーク	31	18	31 | 31 | 18	corpus
クォート	31	40	31 | 31 40 | 31	corpus
クスコ	26	45	26 | 26 45 | 26	corpus
クライミング	15	33	15 | 15 | 33	jmdict
クラウン	24 40 45	56	24 40 | 24 40 45 56 | 24 40 45	jmdict
クラクション	45	50	45 50 | 45 | 45	jmdict
クラシカル	13	18 32	18 32 | 13 | 13	jmdict
クラシック音楽	32	33	32 33 | 32 | 32	jmdict
クラスタリング	15	30	30 | 15 | 15	corpus
クラッカ	24	43	24 | 24 | 24 43	corpus
クラック	18	15 43 51	51 | 15 18 | 18 43	jmdict
クラフト	32	40	32 | 32 | 32 40	corpus
クラン	27	22	22 | 27 | 27	jmdict
クランクイン	15	32	15 32 | 15 | 15	jmdict
クリア	15	13	15 | 15 | 13 15	corpus
クリスマスツリー	40	54	40 | 40 54 | 40	jmdict
クリンチ	35	15	35 | 15 | 35	jmdict
クリーナー	45	40 41	40 45 | 45 | 41 45	jmdict
クリーニング	15	38	15 38 | 15 | 15	jmdict
クリープ	15	43 50	15 43 50 | 15 | 15	corpus
クリーンアップトリオ	22	24	22 | 24 | 22	jmdict
クルス	40	33	40 | 40 | 33 40	corpus
クルー	24	22	24 | 24 | 22 24	corpus
クレオソート	51	41	51 | 51 | 41	jmdict
クレムリン	44	27 36	27 44 | 44 | 36 44	jmdict
クレンザー	40	41	40 | 40 | 41	jmdict
クレーコート	47	17	17 | 47 | 47	jmdict
クレーター	50 52	17	50 | 17 52 | 50 52	jmdict
