word	passes	tier	jmdict_priority
連絡先	17 22 | 35 | 31	jmdict	はい
運動不足	13 | 56 | 15 19	jmdict	はい
達し	31 | 19 | 15	corpus	はい
重点	13 | 19 | 30	corpus	はい
鉄条網	45 | 40 | 41	jmdict	はい
鉄火	10 | 43 | 13 51	jmdict	はい
鏡台	44 | 45 | 40	jmdict	はい
門外漢	22 | 24 | 20	jmdict	はい
関連性	10 | 13 | 35	corpus	いいえ
陰陽	30 | 33 | 10	jmdict	はい
階級	13 | 25 | 26	jmdict	はい
隠し	15 | 30 | 13	corpus	いいえ
雑食	43 53 | 57 | 55	jmdict	はい
離婚	15 | 35 | 21	jmdict	はい
非営利	13 | 38 | 25	corpus	いいえ
須要	10 | 30 | 13	corpus	いいえ
風光	13 | 50 | 17	jmdict	はい
飲み	33 | 43 | 15	corpus	いいえ
首謀	20 | 30 | 15	jmdict	はい
