word	passes	tier	jmdict_priority
差	15 | 19 | 34	corpus	はい
常備	15 | 40 | 34	jmdict	はい
広義	10 | 11 19 | 13	jmdict	はい
悪玉	11 51 | 20 | 13	jmdict	はい
情	10 | 31 | 30	corpus	はい
所期	16 | 13 | 10	jmdict	はい
手製	13 | 18 | 40	corpus	はい
抗菌	15 | 13 | 50	jmdict	はい
押え	30 | 34 36 | 45	corpus	はい
排卵誘発剤	41 | 40 51 | 45	jmdict	はい
排煙	15 | 50 | 45	jmdict	はい
換算	15 | 30 | 19	corpus	はい
支	17 | 19 | 27 36	corpus	いいえ
敏腕	56 | 30 | 24	jmdict	はい
文武	25 | 36 | 33	jmdict	はい
料理屋	44 | 27 38 | 24	jmdict	はい
旁	21 | 17 | 22	jmdict	はい
旧家	20 33 | 44 | 21	jmdict	はい
月桂冠	40 | 34 | 25	jmdict	はい
有向グラフ	18 32 | 19 30 | 40 45	corpus	いいえ
本塁打	10 | 33 | 15	jmdict	はい
杏林	33 | 27 | 38	jmdict	はい
桜ん坊	43 | 55 | 54	jmdict	はい
横車	15 | 40 45 | 35	jmdict	はい
機影	10 | 40 | 17	jmdict	はい
水球	32 | 40 | 33	jmdict	はい
淑徳	33 | 30 | 34	jmdict	はい
清	18 | 13 | 33	corpus	いいえ
渇	15 | 30 | 57	corpus	はい
無休	16 | 19 | 33	jmdict	はい
無理強い	15 36 | 35 | 30	jmdict	はい
熟睡	30 | 15 | 57	jmdict	はい
状	13 | 18 | 40	corpus	はい
現	20 | 16 | 13	corpus	いいえ
現有	12 | 13 | 19	jmdict	はい
瓜姆	43 | 26 | 23	jmdict	はい
生理学	30 53 | 33 | 32	jmdict	はい
相似	13 | 11 18 | 10 19	jmdict	はい
相補	10 | 15 | 30	corpus	いいえ
着	15 | 42 | 19	corpus	はい
知るべ	31 | 30	corpus	いいえ
神明	20 | 53 | 50 52	jmdict	はい
秋水	50 | 45 | 30	jmdict	はい
稲荷	44 47 | 26 53 | 33	jmdict	はい
窒扶斯	57 | 53 | 50	jmdict	はい
経	16 | 56 | 31	corpus	はい
網羅	19 | 10 | 15	corpus	はい
総見	31 32 | 30 | 35	jmdict	はい
耐震	13 | 45 | 30 44	jmdict	はい
若宮	26 | 17 | 44	jmdict	はい
苦味	30 | 19 56 | 13	jmdict	はい
術中	17 | 16 | 30	jmdict	はい
観	30 | 32 | 44	corpus	はい
計測	15 | 19 | 30	corpus	はい
諸刃	45 | 18 | 13 40	jmdict	はい
越幾斯	55 | 26 | 23	jmdict	はい
軟派	22 | 24 | 33	jmdict	はい
通性	13 | 18 | 53 57	jmdict	はい
連理	15 | 33 | 21	jmdict	はい
選手権	34 | 33 | 32 35	jmdict	はい
金製	41 | 40 | 51	jmdict	はい
鍼灸	32 45 | 30 | 33	jmdict	はい
防弾	18 | 13 40 | 30 45	corpus	はい
限外	19 | 17	corpus	いいえ
青砥	41 | 26 | 17	jmdict	はい
非	11 | 10 | 13	corpus	はい
養い	33 | 15 | 21 37	jmdict	はい
駄	13 | 40 | 19	corpus	いいえ
騎馬	15 20 | 24 | 33	jmdict	はい
高配	37 | 34 | 30	jmdict	はい
黒山	17 50 | 26 | 19	jmdict	はい
